,Area/N2O,Quantity/N2O
2018\06\STD CHK 262218.DATA,8615.6,2.42
2018\06\COLBY_304_T4562218.DATA,1750.1,0.49
2018\06\COLBY_304_T3062218.DATA,1771.6,0.5
2018\06\COLBY_304_T1562218.DATA,1774.6,0.5
2018\06\COLBY_304_T062218.DATA,1750.6,0.49
2018\06\COLBY_303_T4562218.DATA,5081.6,1.43
2018\06\COLBY_303_T3062218.DATA,4473.5,1.26
2018\06\COLBY_303_T1562218.DATA,3076.3,0.87
2018\06\COLBY_303_T062218.DATA,1803.3,0.51
2018\06\COLBY_302B_T4562218.DATA,2209.6,0.62
2018\06\COLBY_302B_T3062218.DATA,2078.4,0.58
2018\06\COLBY_302B_T1562218.DATA,1904.7,0.54
2018\06\COLBY_302B_T062218.DATA,1772.7,0.5
2018\06\COLBY_302_T4562218.DATA,8211.2,2.31
2018\06\COLBY_302_T3062218.DATA,6340.8,1.78
2018\06\COLBY_302_T1562218.DATA,3961.6,1.11
2018\06\COLBY_302_T062218.DATA,1810.7,0.51
2018\06\COLBY_301_T4562218.DATA,8548.8,2.41
2018\06\COLBY_301_T3062218.DATA,7170.7,2.02
2018\06\COLBY_301_T1562218.DATA,4507.1,1.27
2018\06\COLBY_301_T062218.DATA,1852.3,0.52
2018\06\COLBY_204_T4562218.DATA,1848.7,0.52
2018\06\COLBY_204_T3062218.DATA,1782.4,0.5
2018\06\COLBY_204_T1562218.DATA,1786.8,0.5
2018\06\COLBY_204_T062218.DATA,1723.9,0.49
2018\06\COLBY_203B_T4562218.DATA,2153.9,0.61
2018\06\COLBY_203B_T3062218.DATA,2019.9,0.57
2018\06\COLBY_203B_T1562218.DATA,1920,0.54
2018\06\COLBY_203B_T062218.DATA,1788.6,0.5
2018\06\COLBY_203_T4562218.DATA,4379.7,1.23
2018\06\COLBY_203_T3062218.DATA,3319.9,0.93
2018\06\COLBY_203_T1562218.DATA,2551.3,0.72
2018\06\AIR CHK 262218.DATA,1732.6,0.49
2018\06\COLBY_203_T062218.DATA,1794,0.5
2018\06\COLBY_202_T4562218.DATA,3207.4,0.9
2018\06\COLBY_202_T3062218.DATA,2701.9,0.76
2018\06\COLBY_202_T1562218.DATA,2307.2,0.65
2018\06\COLBY_202_T062218.DATA,1775.8,0.5
2018\06\COLBY_201_T4562218.DATA,5193,1.46
2018\06\COLBY_201_T3062218.DATA,3829.3,1.08
2018\06\COLBY_201_T1562218.DATA,3338.8,0.94
2018\06\COLBY_201_T062218.DATA,1825.5,0.51
2018\06\COLBY_104_T4562218.DATA,2903.7,0.82
2018\06\COLBY_104_T3062218.DATA,2597.7,0.73
2018\06\COLBY_104_T1562218.DATA,2174.2,0.61
2018\06\COLBY_104_T062218.DATA,1784.7,0.5
2018\06\COLBY_103_T4562218.DATA,3000.2,0.84
2018\06\COLBY_103_T3062218.DATA,2922,0.82
2018\06\COLBY_103_T1562218.DATA,2455.9,0.69
2018\06\COLBY_103_T062218.DATA,1787.9,0.5
2018\06\COLBY_102_T4562218.DATA,7676.7,2.16
2018\06\COLBY_102_T3062218.DATA,5954.7,1.68
2018\06\COLBY_102_T1562218.DATA,3904.3,1.1
2018\06\COLBY_102_T062218.DATA,1783.6,0.5
2018\06\COLBY_101B_T4562218.DATA,2043.3,0.58
2018\06\COLBY_101B_T3062218.DATA,1976.2,0.56
2018\06\COLBY_101B_T1562218.DATA,1920.5,0.54
2018\06\COLBY_101B_T062218.DATA,1761.5,0.5
2018\06\COLBY_101_T4562218.DATA,2871.4,0.81
2018\06\COLBY_101_T3062218.DATA,2629.1,0.74
2018\06\COLBY_101_T1562218.DATA,2476.2,0.7
2018\06\COLBY_101_T062218.DATA,1786.3,0.5
2018\06\Standard Check_1_62218.DATA,8575.5,2.41
2018\06\AIR CHECK_1_62218.DATA,1869.4,0.53
